concept;turkic;iranian
one;bɪr / brɪw / bɪrɪw /  / brɪw / brɪw / bɪr / bər / bər / bər / bər / bir / bir / bir / bir̯ / bir̯ / bir / bir / bir / bir / bɪr / bər / bɪʃ / biʃ / bir / bər / bər / bər / bər / bər / bər / bər / bər / bər̯ / bər / bər / bɪr / ber / bər / bɪr / bər / bər / bər / bɪr / bɪr / bɪr / bɪr / bɪr / bər / ;jak / jak / jak / jakta / jak / jak / jak / jak / jak / jak / jak / jaktə / jaktɐ / jak / jak / jak / jak / jakta / jak / jak / jak / jak / jak / jak / jaktə / jak / jakta / jak / jak / jak / jaktɒ / jak / jakta / jak / iː / iː / iː / iː / iː / 
two;jekə / jekə / jɪkjew / jɪkə / jeka / jekʲew / jɪkə / jikə / jɪkə / jɪke / jɪkə / jeki / jeki / jeki / jekɪ / jeki / jeki / jeki / jeki / jeki / jikʲe / ɛkkɪ / ɛkʲɪ / ɛkkʲɪ / jeke / jɪkɐ / jɪkɐ / jɪkə / jekke / jika / jɪkʲe / jekə / jɪkɐ / jɪkɐ / jɪkɐ / jɪkɐ / jɪkə / jɪkɐ / jɪkɐ / ikkʲe / ikkʲe / ikkʲe / ikkʲe / ikkʲe / ikta / ikkʲe / ikkʲɪ / ikki / ikkʲe / ;du / du / du / duttə / dʊ / dø / dʊ / dø / dø / dø / du / dutɐ / dʉtɐ / dʊ / du / dʊ / də / dutta / du / dø / du / dø / dø / du / dyttə / døː / døtta / døː / du / du / døttɒ / dyː / duttɐ / du / dʊː / døː / dʊ / dʉ / dʊː / 
three;ʉʃʲ / ʉʃʲ / ʉʃʲjʊː / ʉʃ / ʉʃ / ʃuː / ʉʃ / yʃ / yʧ / øʃ / ʉʃ / yʧ / yʧ / yʧ / yʧ / yʧ / yʧ / yʧ / yʧ / yʧ / ʉʧ / yʧ / yʧ / yʧ / yʧ / ʉʃ / ʉʃ / ʉʃ / yʧ / ʉʃ / yʧ / ʉʃ / ʉʃ / ʉʃ / ʉʃ / ʉʃ / yʧ / ʉʧ / ʉʃ / uʧ / yʧ / yʧ / yʧ / ʉʧ / uʃta / ʉʧ / ʉʧ / uʧ / uʧ / ;sʲɛ / se / se / setta / sʲe / se / sɛ / se / sʲe / sʲɛ / se / sʲetɐ / sʲetɐ / se / se / se / se / sʲeta / se / se / se / se / sʲe / se / sʲeta / seː / seˑta / sʲeː / se / se / seta / se / sʲeta / sʲe / saraj / traj / tʲiraj / traj / tɪraj / 
four;tørt / tørt / twørt / tʲørt / tørt / tørtʲew / tørt / tørt / tœrt / tørt / tørt / tort / tørt / tørt / tørt / tørt / tørt / tørt / tørt / tørt / tørt / tør / tørt / tørt / tørt / tørt / tørt / tørt / tœrt / tœrt / tørt / tørt / twørt / tørt / tørt / tørt / tørt / tørt / tørt / tʉrt / tør / tør / tørt / tʉrt / tʉrta / tʉrt / tʉrt / tʉrt / tʉrt / ;ʧahɔr / ʧɔr / ʧɔr / ʧɔrta / ʧɔr / ʧɔːr / ʧahɔr / ʧɔr / ʧɔr / ʧɔr / ʧɔr / ʧɔrtə / ʧɔrtɐ / ʧɔr / ʧohɔr / ʧɔhɔr / ʧɔr / ʧɔrta / ʧɔr / ʧɔr / ʧɔr / ʧɔr / ʧɔr / ʧɔr / ʧɔrta / ʧɔr / ʧɔrta / ʧɔˑr / ʧɔr / ʧɔr / ʧɔr / ʧɔr / ʧɔrta / ʧɔr / safɔr / tufɔːr / tʊfɔr / tfuːr / tfɔːr / 
five;bʲɪs / bʲɪs / bʲes / bʲɪs / bʲɪs / bʲes / bʲɪs / bʲɪs / bʲɪʃ / bʲɪs / bʲɪs / bʲeʃ / bʲeʃ / bʲeʃ / bʲɪʃ / bʲeʃ / bʲeʃ / bʲeʃ / bʲeʃ / bʲeʃ / bʲeʃ / bʲeʃ / bʲeʃ / bʲeʃ / bʲeʃ / bʲes / bʲes / bʲes / bʲeʃ / bʲɪs / bʲɪs / bʲes / bʲɪs / bʲɪs / bʲɪs / bʲɪs / bʲɪʃ / bʲɪs / bʲɪs / bɪʃ / bʲeʃ / bʲeʃ / bʲeʃ / bʲeʃ / bʲeʃta / bɪs / bɪs / bʲɪʃ / bɪʃ / ;panʤ / panʒ / panʒ / panʒta / panʒ / panʤ / panʒ / panʒ / panʒ / panʒ / panʤ˳ / panʃtɐ / panʃtɐ / panʒ / panʒ / panʒ / panʒ / panʲʒta / panʒ / panʒ / panʒ / panʒ˳ / panʒ / panʒ / panʃta / panʒ / panʒta / panʒ / panʒ / panʒ / panʒ / panʒ / panʧ / panʧ / panʒ / panʧ / panʧ / panʧ / panʧ / 
big;ʉlkɪn / ʉlkɪn / ʉlken / ʉlken / ylken / ʉlken / ʉlken / ʉlkɛn / ʉlkɛn / ʉlkən / ʉlken / ʧɔŋ / ʧɔŋ / ʧɔŋ / ʧɔŋ / ʧɔŋ / ʧɔŋ / ʧɔŋ / ʧɔŋ / ʧɔŋ / ʧɔŋ / katta / ʧɔŋ / ʧɔŋ / ʧɔŋ / ʉlken / ʉlken / ʉlkøn / ʉlgən / ʉlken / katta / ʉlken / ʉlkən / ʉlkən / ʉlken / ʉlkʲen / ʉlkən / ʉlken / ʉlkɛn / qapta / katta / katta / katta / katta / katta / katta / katta / qapta / qapta / ;kalɔn / kalɔn / kalɔn / kalɔn / kalɔ̴̃n / katta / katta / katta / katta / katta / kalɔn / kalɔn / kalɔn / kalɔn / kalɔn / kalɔn / kalɔn / kalɔn / kalɔn / kalɔn / kalɔn / kalɔn / kalɔn / kalɔn / kalɔn / bisjɔr / kalɔn / kalɔn / kalɔn / kalɔn / kalɔn / bisjɔr / kalɔn / kalɔn / kalɔn / katta / katta / katta / katta / 
long;ɔzaq / ʉzaq / kwøwaxə / ʉzaq / ɔzaq / ɔzaq / købrik / uzaq / uzaq / alɨs / uzaq / uzɒq / uzɒq / køpkø / uzɒq / uzɒq / uzɒq / uzɒχ / uzɒq / uzɔʁ / uzɒq / uzɒq / alɨs / alɨs / uzɒq /  / uzaq / uzaq / uzaq / ʊzaq / uzaq / uzaq / uzaq / uzaq / uzaq / ʊzaq / uzaq / ʊzaq /  / uzɔq /  / uzɔq / uzaq / uzɔqtan / uzɒq / uzɔq / uzaq / uzɔq / uzɔq / ;mudat / dur / dur / dur / darɔxt / dərɔz / dur / dur / dur / dur / darɔz / bisjɔr / darɔz / bisjɔr / bisjɔr / darɔz̥ / darɔz̥ / mʉl / mʉlvaxt / darɔz / bisjɔr / drɔz / dur /  / dur / bisjɔr / dur / dur / darɔz̥ /  / davɔmnɔk / bisjɔr / dur / dur / darɔz / ɣer / ɣer / ɣɪːr / dirʊ van / 
wide;kʲeŋ / kʲiŋ /  / jende / kʲeŋ / kʲɪŋ /  / kʲeŋ / kʲeŋ / kʲeŋ / kʲeŋ / deneŋ / ʤazɨ /  / kʲɛn / denen / ʤazɨ / denen / ʤazɨ / deneŋ / kʲeŋ / kʲɪŋ / kʲeŋ /  / kʲɛn / kʲeŋ / kʲeŋ / kʲeŋ / kʲeŋ / kʲɪŋ / kʲeŋ / kʲeŋ / kʲɪŋ / kʲeŋ / kʲeŋ /  / kʲeŋ / kʲeŋ / kʲeŋ / keŋ / kʲɪŋ / kʲeŋ / kʲeŋ / kʲeŋ / kʲeŋ / kʲɛn / kɪŋ / kʲeŋə / kiŋ / ;pahan / vasʲe / vasʲe / vasʲe / vasʲe / kʃɔt / kuʃɔt / kʃɔt / kʃɔt / kʃɔt / ɣafs / pahn / pahan / kalɔn / kuʃoda / kalɔn / pahn / darɔz / vasi / kuʃɔd / pahn / kʃɔt / farɔq / farɔq / vasʲe / kʃɔt / vase / vasʲe / vase / vase / vase /  / vasʲe / sʲerbar / kuʃɔd / kuʃɔd / kʊʃɔd / kʊʃɔd / kɪʃɔd / 
thick;ʒwɒn / ʒuwãn / sʲemɪz̥ / sʲeməz̥ / sʲeməz̥ / qalən / sʲemɪz̥ / tɔntaq / sʲemɨz̥ / sʲemɨz̥ / sʲemɨz̥ / tɔlɨq / sʲemɪz̥ / sʲemiz̥ / ʤɔːn / tɔlɜq / sʲemɨz̥ / sʲemiz̥ / ʤɔːn / sʲemɨz̥ / ʒɔːn / sʲemɨs / sʲemɨs / sʲemɨz̥ / ʤɔːn / sʲemɨz̥ / sʲemɨz̥ / ʒʊwan / sʲemɨz̥ / sʲemɨz̥ / sʲemɨz̥ / qalən / sʲemɪz̥ / tɔlq / ʒʊwan / tɔlpaq / sʲemɪz̥ / sʲemɨz̥ / sʲemɨz̥ / jɔɣɔn / jɔɣɔn / sʲeməz̥ / sʲemɨz̥ / sʲemɪz̥ / jʉɣɔn / sʲemɪz̥ / sʲemɪz̥ / semiz̥ / qalən / ;ɣasp / ɣasp / ɣasp / ɣasp / ɣaft / ɣaus / farbi / farbi / ɣaus / farbi / farbe / ɣafs / ɣafs / ɣafs / ɣafs / farbe / ɣafs / ɣaɣs / ɣaus / ɣaβs / farbe / ɣaws / farbʲe / ɣaβs / ɣaws / ɣaws / ɣafs / ɣafs / ɣafs / ɣafs / ɣafs / ɣafs / ɣul / ɣavs / ɣafs / ɣafs / ɣafs / ɣafs / ɣafs / 
heavy;awər / awər / awɜr / awɜr / awɜr / awɜr / awɜr / awər / awɨr / awɨr / awɨr / ɔːr / ɔːr / salmaqtɨ / ɔːr / ɔːr / ɔːr / ɔːr / ɔːr / ɔːr / salmaqtʊ / ɔːr / ɔːr / ɔːr / ɔːr / awər / awər / awʊr / awɜr / awɜr / awər / awər / awɜr / awɨr / awɨr / awɨr / awɨr / awrʊ / awər / ɔɣər / ɔɣər / ɔɣər / ɔɣər / wɔɣər / ɔɣər / ɔɣər / ɔɣər / ɔɣər / ɔɣər / ;vazmin / vazmin / vazbin / vazbin / vazbin / vazmin / vazmin / vazmin / vazbin / vazmin / vazmin / vazmin / vazmin / vazmin / vazmin / vazmɪn / vazmin / vazbin / vazbin / vazmɪn / vazmin / vazmin / vazmɪn / vazmin / vazmɪn / vazmin / vazmin / vazmin / vazbin / vazmin / vazmin / vazmin / vazbin / vazbin / vazmin / vazmin / vazmin / vazmin / vazmin / 
